FID,osm_id,man_made,operator,ref,name,owner,location,colour,ref-FR-PTT,ref-FR-Orange,street_cabinet,telecom,telecom-medium,ref-FR-SFR,description,note,source,osm_version,osm_timestamp,the_geom,osm_original_geom,osm_type
telecom_exchange_point.489543294,489543294,,,02085C7U,Central de Chateau-Thierry Omois,,,,,,,exchange,,,,,,2,2022-03-13T23:33:23Z,POINT (378160.6250530572 6289398.759167976),"SRID=3857;POLYGON((378157.2973379379 6289400.95659785,378157.46431717405 6289396.316378822,378163.95424348733 6289396.554338713,378163.776132302 6289401.211555018,378157.2973379379 6289400.95659785))",way
telecom_exchange_point.490665388,490665388,,orange,,central téléphonique,,,,,,,exchange,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2020,4,2020-10-18T21:17:08Z,POINT (1051020.2398952425 5235165.444083044),"SRID=3857;POLYGON((1051013.2096053497 5235167.447097748,1051018.842371584 5235158.2680547405,1051027.269257037 5235163.431265334,1051021.6364908027 5235172.625410487,1051013.2096053497 5235167.447097748))",way
telecom_exchange_point.491465437,491465437,,Orange,,Orange,Orange,,,73244STJ,,,exchange,copper,,,,ANFR Opendata,4,2023-06-07T18:43:34Z,POINT (721940.1668749074 5688795.932128079),"SRID=3857;POLYGON((721931.7999644695 5688798.664487633,721933.6478680167 5688793.366830975,721932.7907079377 5688793.081328607,721934.3937086051 5688788.449847059,721948.8875063064 5688793.493720918,721945.4477340408 5688803.40700329,721931.7999644695 5688798.664487633))",way
telecom_exchange_point.493170496,493170496,telephone_office,Orange,,,,,,91377VER,,,exchange,copper,,,,ANFR Opendata,2,2018-08-01T17:45:25Z,POINT (252374.55778538418 6230490.214372492),"SRID=3857;POLYGON((252347.34842810387 6230491.018884234,252384.0727281166 6230478.528261731,252383.54952650983 6230476.992254017,252388.23607707222 6230475.405608978,252387.50136843298 6230473.228192336,252394.1582739824 6230470.966380288,252395.97278168236 6230476.350844283,252397.9876644657 6230475.675676197,252399.84669996198 6230481.144539249,252398.5331299706 6230484.047764272,252395.91712193697 6230489.820458843,252396.4959832891 6230490.039888835,252396.22881651117 6230490.731937295,252395.43844812657 6230492.841841486,252352.97006238895 6230507.341117299,252347.34842810387 6230491.018884234))",way
telecom_exchange_point.494813791,494813791,telephone_office,Orange,,central téléphonique,Orange,,,,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2017,2,2020-02-13T20:37:33Z,POINT (362612.22062962904 5931920.830954364),"SRID=3857;POLYGON((362597.82701934053 5931925.656808791,362597.99399857677 5931915.532296614,362626.6142396597 5931916.005099658,362626.4472604235 5931926.1296123825,362597.82701934053 5931925.656808791))",way
telecom_exchange_point.496132805,496132805,,Orange,,NRO de Vertheuil,Orange,,,,33545UTH,,exchange,fibre,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2017,2,2020-04-06T20:12:59Z,POINT (-93992.06101990944 5660482.664580434),"SRID=3857;POLYGON((-94000.70497828121 5660483.170537595,-93991.50998834168 5660474.031640625,-93983.41706136102 5660482.15861775,-93992.61205130054 5660491.29752299,-94000.70497828121 5660483.170537595))",way
telecom_exchange_point.503270763,503270763,,Altitude Infrastructure,74MSBE1,,Syane,,,,,,exchange,fibre,,,,,9,2023-10-03T21:04:50Z,POINT (689950.2977416225 5758243.850983185),"SRID=3857;POLYGON((689945.8586051806 5758240.730627548,689949.6212039695 5758238.300876158,689954.8420880876 5758246.932890689,689950.7455308265 5758249.298703542,689945.8586051806 5758240.730627548))",way
telecom_exchange_point.506822852,506822852,telephone_office,Orange,,,,,,83117SPA,,,exchange,copper,,,,ANFR Opendata,2,2018-07-01T14:24:02Z,POINT (745046.7993993481 5398686.352289533),"SRID=3857;POLYGON((745033.978416594 5398685.950116996,745051.3553891068 5398677.008528271,745056.5651412759 5398687.31747411,745053.5706469736 5398688.623377161,745054.7951613723 5398691.204456669,745044.5315043211 5398695.598438919,745040.4238151108 5398686.887294321,745035.4033060761 5398689.437646212,745033.978416594 5398685.950116996))",way
telecom_exchange_point.507307611,507307611,,Orange,,Central téléphonique,Orange,,,,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2017,2,2020-02-19T21:21:24Z,POINT (489249.5013267815 5442581.140435331),"SRID=3857;POLYGON((489222.5678100868 5442571.9201841075,489245.1322708707 5442560.234546686,489250.0191965164 5442569.666414045,489241.5923110634 5442574.03502364,489244.70925680565 5442580.055372419,489277.1477564228 5442563.244716068,489284.5727664587 5442577.570048472,489231.5178971466 5442605.063017171,489224.2709982959 5442591.07725192,489232.553168411 5442586.785818274,489229.13566004357 5442580.194303591,489227.3322842928 5442581.120511458,489222.5678100868 5442571.9201841075))",way
telecom_exchange_point.510182964,510182964,,Orange,,,,,,,,,exchange,,,,,,2,2021-07-18T13:18:55Z,POINT (221017.60011516156 5648496.163958013),"SRID=3857;POLYGON((221013.46098613652 5648495.729543752,221019.59469007925 5648492.508348991,221021.74315625156 5648496.598003321,221015.59832035974 5648499.819199549,221013.46098613652 5648495.729543752))",way
telecom_exchange_point.513865526,513865526,,,,,,,,,,,exchange,fibre,,Noeud de Raccordement Optique (NRO),,,2,2020-02-22T22:53:23Z,POINT (721872.3052631386 5552661.126841383),"SRID=3857;POLYGON((721864.0620543219 5552661.829906378,721865.620527193 5552656.252252276,721880.5484709083 5552660.42377477,721878.9899980371 5552666.001431431,721864.0620543219 5552661.829906378))",way
telecom_exchange_point.514914280,514914280,,Orange,,Central Téléphonique,Orange,,,,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2017,3,2020-02-19T19:10:15Z,POINT (1055901.5601404475 5282915.279264714),"SRID=3857;POLYGON((1055895.0034226489 5282911.918247682,1055904.287468181 5282908.428255671,1055908.1168586644 5282918.640279428,1055898.8328131323 5282922.130275235,1055895.0034226489 5282911.918247682))",way
telecom_exchange_point.520913772,520913772,,Covage,,NRO,Syane,,white,,,,exchange,fibre,,,,,8,2023-07-29T14:58:17Z,POINT (688653.187134925 5786381.579469026),"SRID=3857;POLYGON((688647.5393840587 5786378.282908922,688652.3929138572 5786375.091750707,688658.8383123742 5786384.87369662,688653.9736506266 5786388.064858357,688647.5393840587 5786378.282908922))",way
telecom_exchange_point.522077783,522077783,telephone_office,Orange,,,,,,83051ENT,,,exchange,copper,,NRA_ENTRECASTEAUX,,PACA THD,3,2018-10-28T21:10:07Z,POINT (694732.464957551 5390886.78606226),"SRID=3857;POLYGON((694725.2607548481 5390882.261592692,694739.2090870446 5390881.601516131,694739.6654969567 5390891.318461855,694725.7171647603 5390891.963188472,694725.2607548481 5390882.261592692))",way
telecom_exchange_point.522834504,522834504,telephone_office,Orange,,,,,,83074MRT,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2018,3,2018-10-23T21:58:49Z,POINT (734757.8951562159 5430002.906239984),"SRID=3857;POLYGON((734753.7904210713 5429998.755382152,734758.5994230736 5429997.105899081,734761.9946675429 5430007.079880647,734757.1967974897 5430008.698534006,734753.7904210713 5429998.755382152))",way
telecom_exchange_point.525466415,525466415,,Orange,,,,,,17200LD7,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2017,2,2020-06-22T18:20:24Z,POINT (-128453.1968233301 5809258.79556638),"SRID=3857;POLYGON((-128460.02070765864 5809262.300456455,-128449.64573111675 5809251.994790902,-128446.37293808741 5809255.290673274,-128456.74791462935 5809265.59634267,-128460.02070765864 5809262.300456455))",way
telecom_exchange_point.528882873,528882873,,Altitude Infra Haute-Savoie,,,Syane,,white,,,,exchange,fibre,,,,,7,2024-07-23T20:57:08Z,POINT (678950.0648349504 5766752.650602047),"SRID=3857;POLYGON((678942.3165584833 5766750.182225505,678955.4077306006 5766746.518105257,678957.8122316018 5766755.110389618,678944.7321914335 5766758.790513954,678942.3165584833 5766750.182225505))",way
telecom_exchange_point.533854545,533854545,telephone_office,Orange,,Central téléphonique,Orange,,,,,,exchange,copper,,,,,4,2020-02-16T21:26:13Z,POINT (129356.15137974633 5672882.642460807),"SRID=3857;POLYGON((129348.4504317307 5672876.624824318,129360.37274919465 5672873.8223667145,129363.85704925649 5672888.657985555,129351.92359984346 5672891.460447793,129348.4504317307 5672876.624824318))",way
telecom_exchange_point.537196640,537196640,telephone_office,Orange,,,Orange,,,47040BRX,,,exchange,copper,,,,,3,2020-02-18T20:21:20Z,POINT (61221.72635582903 5496954.910678505),"SRID=3857;POLYGON((61214.8774178972 5496952.541357089,61222.22450428955 5496947.680929007,61228.58084721385 5496957.277559461,61221.22262887241 5496962.137992642,61218.11681507929 5496957.448373362,61214.8774178972 5496952.541357089))",way
telecom_exchange_point.537197700,537197700,telephone_office,Orange,,,Orange,,,47052CAX,,,exchange,copper,,,,,3,2020-02-18T20:21:20Z,POINT (9454.641184406753 5514117.46097861),"SRID=3857;POLYGON((9445.347474318469 5514105.7676271545,9456.212256619892 5514104.009607075,9457.959972625347 5514114.8066561,9463.53707911409 5514113.904308574,9465.574225795608 5514126.490508834,9449.13233700544 5514129.150882187,9445.347474318469 5514105.7676271545))",way
telecom_exchange_point.538360387,538360387,,,,NRO SIEA,,,,,,,exchange,fibre,,,,,2,2020-02-17T20:13:27Z,POINT (636494.1742702594 5807258.532650835),"SRID=3857;POLYGON((636489.5600773568 5807262.165339503,636494.0351208868 5807252.665697025,636498.7884631436 5807254.899960583,636494.3134196136 5807264.39960546,636489.5600773568 5807262.165339503))",way
telecom_exchange_point.547487634,547487634,,Orange,,,Orange,,,63402SVX,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2018,3,2020-02-17T20:13:27Z,POINT (401213.972851836 5770380.849264182),"SRID=3857;POLYGON((401210.9738879236 5770379.667838287,401215.3932717081 5770377.955081825,401216.97400847735 5770382.020878079,401212.5546246929 5770383.749642402,401210.9738879236 5770379.667838287))",way
telecom_exchange_point.552476062,552476062,telephone_office,Orange,,Central téléphonique,Orange,,,,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2018,3,2020-02-16T21:26:13Z,POINT (116388.3879283026 5778933.450687115),"SRID=3857;POLYGON((116380.79842142595 5778934.864279609,116387.83381324407 5778925.587248705,116395.98239997015 5778931.964205005,116388.92474425385 5778941.353400259,116380.79842142595 5778934.864279609))",way
telecom_exchange_point.564822501,564822501,,Orange,,,,,,,,,exchange,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2018,2,2019-07-01T22:31:41Z,POINT (587663.211716779 5553965.837194598),"SRID=3857;POLYGON((587656.6160370064 5553961.375992203,587669.4511742949 5553960.891588706,587669.8073966654 5553970.298396735,587656.972259377 5553970.782800736,587656.6160370064 5553961.375992203))",way
telecom_exchange_point.568938202,568938202,telephone_office,Orange,,,,,,2B074ANV,,,exchange,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2019,4,2019-01-31T12:12:46Z,POINT (1020858.9692414957 5199171.9345226465),"SRID=3857;POLYGON((1020852.3958254129 5199177.115733726,1020856.7595494521 5199163.865668862,1020865.5426572756 5199166.753309118,1020861.1789332366 5199180.003378017,1020852.3958254129 5199177.115733726))",way
telecom_exchange_point.569121054,569121054,,Orange,,NRO de Bégadan,Orange,,,,33038EEG,,exchange,fibre,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2018,2,2020-04-06T19:07:23Z,POINT (-99330.42534034494 5678603.975096133),"SRID=3857;POLYGON((-99340.05529858793 5678598.108206381,-99328.40014790189 5678592.658146362,-99323.52435420515 5678603.082973361,-99324.4594379278 5678603.52658329,-99321.22004074571 5678610.465912889,-99331.92897576003 5678615.472373194,-99340.05529858793 5678598.108206381))",way
telecom_exchange_point.569128928,569128928,,Orange,,,Orange,,,,,,exchange,copper,,,,ANFR Opendata,3,2020-02-19T21:21:24Z,POINT (436429.538638227 5496685.244939812),"SRID=3857;POLYGON((436426.23801538 5496683.234053946,436431.65927458165 5496682.0073364,436432.8392611841 5496687.2558252765,436427.4180019824 5496688.482543527,436426.23801538 5496683.234053946))",way
telecom_exchange_point.570066018,570066018,,Orange,,,Orange,,,30017ARR,,,exchange,copper,,,,ANFR Opendata,3,2020-02-19T21:21:24Z,POINT (389246.8780063399 5461840.235647652),"SRID=3857;POLYGON((389240.22131351987 5461839.622055741,389246.3327535644 5461833.573615839,389253.53512461873 5461840.859588693,389247.4236845742 5461846.892564221,389240.22131351987 5461839.622055741))",way
telecom_exchange_point.572168988,572168988,telephone_office,Orange,,Central Téléphonique,Orange,,,,,,exchange,copper,,,,anfr,2,2020-02-16T21:26:13Z,POINT (46034.01617842986 5707089.148678329),"SRID=3857;POLYGON((46027.14740685495 5707089.699687913,46033.08073571423 5707082.325005191,46040.88423201884 5707088.587127629,46034.95090315956 5707095.977709249,46027.14740685495 5707089.699687913))",way
telecom_exchange_point.572178155,572178155,,Orange,,Central téléphonique,Orange,,,,,,exchange,copper,,,,cadastre,2,2020-02-19T21:21:24Z,POINT (350911.3065178784 5405524.256175537),"SRID=3857;POLYGON((350891.1688048948 5405517.97478107,350918.1081216667 5405504.137369828,350925.1212495867 5405517.667282816,350923.5627767156 5405518.589777605,350929.24007074605 5405530.428468889,350928.4608343105 5405533.5034561185,350908.312006477 5405543.497171675,350905.4176997163 5405542.574674401,350899.51776670426 5405530.889716908,350897.9592938331 5405531.504714302,350891.1688048948 5405517.97478107))",way
telecom_exchange_point.572206744,572206744,telephone_office,Orange,,Central téléphonique,Orange,,,,,,exchange,copper,,,,,3,2022-09-04T19:44:52Z,POINT (630674.3467639129 6330970.775104662),"SRID=3857;POLYGON((630665.2463954091 6330969.955202806,630673.6176211168 6330961.670815703,630683.4471321539 6330971.594999978,630675.0759064462 6330979.879396854,630665.2463954091 6330969.955202806))",way
telecom_exchange_point.576024900,576024900,telephone_office,Orange,,,,,,2A359ZIC,,,exchange,,,,,ANFR Opendata,3,2019-04-23T17:11:06Z,POINT (1016182.3414820547 5147227.551239174),"SRID=3857;POLYGON((1016176.5987258267 5147231.67613422,1016177.5226776003 5147222.372296858,1016188.0868972767 5147223.43430999,1016187.6750151607 5147227.577658124,1016187.1629455031 5147232.723190443,1016176.5987258267 5147231.67613422))",way
